"Reference","Qty","Value","Manufacturer PN","Manufacturer"
"BT201","1","Battery","BL0105F2635161S1PCAT","261635 3.7 V Lithium-Ion Battery Rechargeable (Secondary) 105mAh"
"C101,C105,C106,C108,C109,C113,C116,C117,C118,C122","10","100n","C0603C104K3RACTU","KEMET"
"C102,C103","2","47p","GCM1885C2A470JA16D","Murata Electronics"
"C104,C119,C207","3","10u","GRM188R60J106ME47D","Murata Electronics"
"C107,C110,C111,C114,C115,C120,C206,C208,C210","9","4.7u","GRT188C81E475KE13D","Murata Electronics"
"C112,C121,C202,C203,C204,C205","6","1u","C0603C105K4RACTU","KEMET"
"C201","1","2.2u","C0603C225K4PACTU","KEMET"
"C209","1","4.7p","CC0603CRNPO9BN4R7","YAGEO"
"D201","1","STPS0530Z","STPS0530Z","STMicroelectronics"
"F201","1","VBUS Polyfuse","0ZCJ0025AF2E","Bel Fuse Inc."
"J201","1","Battery Connector","DF65-3P-1.7V(21)","Hirose Electric Co Ltd"
"J202","1","USB_C_Receptacle_USB2.0_14P","124018612112A","Amphenol ICC (Commercial Products)"
"L201","1","6.8u","B82422H1682K000","TDK"
"Q201","1","PMOS","BSS84-7-F","Diodes Incorporated"
"R101,R203,R204","3","5.1k","RC0603FR-075K1L","YAGEO"
"R102,R103","2","1.4k","AC0603FR-071K4L","YAGEO"
"R104,R105","2","33","RC0603FR-0733RL","YAGEO"
"R106,R107","2","1k","RC0603FR-071KL","YAGEO"
"R108","1","910k","RC0603FR-07910KL","YAGEO"
"R109,R110,R111,R112,R114,R202,R207,R210,R211","9","10k","RC0603FR-0710KL","YAGEO"
"R113","1","4.7k","RC0402JR-074K7L","YAGEO"
"R115,R116","2","2.2k","RC0603FR-072K2L","YAGEO"
"R201","1","10m","RL0816T-R010-F","Susumu"
"R205","1","17.4k","RT0603DRD0717K4L","YAGEO"
"R206","1","30k","RC0603JR-0730KL","YAGEO"
"R208","1","1.8M","AC0603FR-071M8L","YAGEO"
"R209","1","205k","RC0603FR-07205KL","YAGEO"
"U101","1","ER-TP1.44-1","ER-TP1.44-1 ","EastRising"
"U102","1","LIS2HH12","LIS2HH12TR","STMicroelectronics"
"U103","1","FT260Q","FT260Q-T","FTDI, Future Technology Devices International Ltd"
"U104","1","ER-OLED1.12-2W","ER-OLED1.12-2W","EastRising"
"U105","1","AT24CS04-SSHM","AT24CS04-SSHM-T","Microchip Technology"
"U106","1","STM32L011G4Ux","STM32L011G4U6TR","STMicroelectronics"
"U201","1","USBLC6-2SC6","USBLC6-2SC6","STMicroelectronics"
"U202","1","BQ27426","BQ27426YZFR","Texas Instruments"
"U203","1","TPS7A20xxxDBV","TPS7A2033PDBVR","Texas Instruments"
"U204","1","BQ24230RGT","BQ24230RGTT","Texas Instruments"
"U205","1","TPS61040DDC","TPS61040DDCR","Texas Instruments"
